ID,Region_of_residence,Age_of_Subject,Time_spent_on_Online_Class,Rating_of_Online_Class_experience,Medium_for_online_class,Time_spent_on_self_study,Time_spent_on_fitness,Time_spent_on_sleep,Time_spent_on_social_media,Prefered_social_media_platform,Time_spent_on_TV,Number_of_meals_per_day,Change_in_your_weight,Health_issue_during_lockdown,Stress_busters,Time_utilized,Do_you_find_yourself_more_connected_with_your_family_close_friends _relatives,What_you_miss_the_most,,,Social_Platform
R196,Outside Delhi-NCR,34,1.5,Poor,Laptop/Desktop,1,0,6,1,1,0,2,Remain Constant,1,Online surfing,0,0,Taking kids to park,,,
R197,Delhi-NCR,21,4,Good,Laptop/Desktop,4,1,7,2,6,2,3,Remain Constant,0,Talking,1,1,Colleagues,,,
R198,Outside Delhi-NCR,20,3,Average,Laptop/Desktop,3,1,7,1,6,0,3,Remain Constant,0,Listening to music,1,1,School/college,,,
R199,Outside Delhi-NCR,20,3,Very poor,Laptop/Desktop,5,0,7.5,2,7,0.5,4,Increased,0,Sleep,1,0,School/college,,,
R200,Outside Delhi-NCR,25,2,Very poor,Laptop/Desktop,3,1,8,4,3,1,2,Increased,0,Watching web series,0,0,Roaming around freely,,,
R201,Outside Delhi-NCR,19,0.5,Very poor,Smartphone,3,1,8,1,6,0,2,Remain Constant,0,Sleep,1,1,School/college,,,
R202,Delhi-NCR,26,5,Average,Laptop/Desktop,10,1,8,1,5,0.5,2,Remain Constant,0,Meditation,1,1,Roaming around freely,,,
R203,Outside Delhi-NCR,20,3,Good,Laptop/Desktop,4,0,8,2,5,0,3,Remain Constant,0,Cooking,1,1,Travelling,,,
R204,Delhi-NCR,24,7,Very poor,Laptop/Desktop,7,2,7,2,5,0,3,Remain Constant,0,Reading books,1,1,Travelling,,,
R205,Delhi-NCR,21,0,Very poor,Laptop/Desktop,0,2,12,6,3,0,4,Increased,0,Watching web series,0,0,Travelling,,,
R206,Delhi-NCR,20,5,Good,Smartphone,2.5,1,9,3,6,0.5,2,Remain Constant,0,Dancing,1,1,School/college,,,
R207,Delhi-NCR,16,7,Average,Tablet,4,1,7,1,7,0,3,Remain Constant,0,Reading books,1,1,All of the above ,,,
R208,Delhi-NCR,17,6,Average,Laptop/Desktop,1,0,7,2,9,0,2,Remain Constant,0,Online gaming,1,0,"Friends , relatives",,,
R209,Delhi-NCR,59,3,Average,Smartphone,6,1,9,0.5,7,1,2,Increased,0,Sleep,1,1,School/college,,,
R210,Delhi-NCR,17,7,Good,Smartphone,4,0,7,1,7,1,2,Increased,0,Listening to music,1,0,School/college,,,
R211,Delhi-NCR,16,6,Very poor,Smartphone,5,0,7,2,5,0,3,Increased,0,Online surfing,0,1,"Friends , relatives",,,
R212,Outside Delhi-NCR,20,3,Average,Laptop/Desktop,4,1,7,2,1,2,3,Remain Constant,0,Talking to your relatives,1,0,School/college,,,
R214,Delhi-NCR,17,6,Very poor,Smartphone,1.5,2,7,2,6,0.5,4,Increased,0,Workout ,1,0,Travelling,,,
R215,Delhi-NCR,17,6,Average,Laptop/Desktop,5,0.5,7,1,7,1,2,Remain Constant,0,Listening to music,0,0,Eating outside,,,
R216,Delhi-NCR,20,3,Good,Laptop/Desktop,4,0,7,4,7,0,2,Remain Constant,1,Social Media,1,1,Colleagues,,,
R217,Outside Delhi-NCR,17,6,Average,Tablet,2,1,7,1,7,1,4,Remain Constant,0,Reading books,0,1,"Friends , relatives",,,
R218,Delhi-NCR,20,4,Very poor,Smartphone,2,0,7,0.5,7,0.5,3,Increased,0,Sleep,0,0,School/college,,,
R219,Outside Delhi-NCR,16,8,Good,Laptop/Desktop,7,0,6,1,7,0.5,3,Remain Constant,0,Social Media,0,0,Travelling,,,
R220,Delhi-NCR,19,0.5,Very poor,Smartphone,5,0.5,10,1,7,1,2,Remain Constant,1,Meditation,1,0,School/college,,,
R221,Delhi-NCR,20,0,Very poor,Laptop/Desktop,2,0,10,3,6,2,4,Increased,0,Sleep,0,1,"Friends , relatives",,,
R222,Outside Delhi-NCR,22,4,Average,Laptop/Desktop,3,1,8,3,7,0,4,Increased,0,Online gaming,1,0,Travelling,,,
R223,Outside Delhi-NCR,17,9,Poor,Laptop/Desktop,3,0,5,0.5,6,1,3,Remain Constant,0,Listening to music,0,0,All the above,,,
R224,Delhi-NCR,23,1,Very poor,Smartphone,8,2,8,2,6,2,3,Decreased,0,Online gaming,1,1,"Friends , relatives",,,
R225,Outside Delhi-NCR,22,0,Very poor,Laptop/Desktop,3,0,10,8,6,0,2,Increased,1,Watching web series,1,1,"Friends , relatives",,,
R226,Delhi-NCR,22,1.5,Average,Laptop/Desktop,0,0,9,6,6,2,3,Increased,0,Scrolling through social media,1,1,School/college,,,
R227,Outside Delhi-NCR,19,2,Very poor,Smartphone,2,1,8,2,7,1,3,Decreased,1,Scrolling through social media,0,1,Roaming around freely,,,
R228,Delhi-NCR,19,2,Very poor,Smartphone,5,1,9,2,2,0,4,Remain Constant,0,Listening to music,1,0,School/college,,,
R229,Outside Delhi-NCR,23,1,Very poor,Laptop/Desktop,1,0,8,5,7,0,4,Increased,0,Talking to your relatives,0,1,Eating outside,,,
R230,Outside Delhi-NCR,32,4,Good,Laptop/Desktop,5,2,5,3,3,0,3,Remain Constant,0,Reading,1,1,Colleagues,,,
R231,Delhi-NCR,17,6,Average,Smartphone,8,1,8,2,7,3,4,Remain Constant,0,Sleep,0,0,Travelling,,,
R232,Delhi-NCR,21,0,NA,NA,10,1,5,0.5,1,0,4,Remain Constant,0,Cooking,0,0,Internet,,,
R233,Delhi-NCR,22,4,Average,Laptop/Desktop,3,2,8,2,7,0.5,4,Increased,0,Sleep,1,1,Roaming around freely,,,
R234,Outside Delhi-NCR,17,6,Very poor,Any Gadget,4,2.5,8,0.5,6,0,3,Remain Constant,0,Reading books,1,1,School/college,,,
R235,Outside Delhi-NCR,17,5,Average,Laptop/Desktop,1.5,2,8,1,5,3,3,Decreased,0,Cooking,1,1,"Friends , relatives",,,
R236,Delhi-NCR,22,5,Good,Laptop/Desktop,10,1,6,1,Elyment,0,3,Remain Constant,1,Online gaming,1,1,School/college,,,
R237,Outside Delhi-NCR,18,2,Very poor,Smartphone,2,2,9,4,5,0,3,Increased,0,Online gaming,0,1,School/college,,,
R238,Delhi-NCR,20,5,Very poor,Laptop/Desktop,8,0,7,1,9,0,3,Increased,0,Reading books,0,1,Roaming around freely,,,
R239,Outside Delhi-NCR,30,3,Average,Smartphone,1,0.5,4,1,7,0.5,2,Remain Constant,0,Meditation,1,1,School/college,,,
R240,Delhi-NCR,19,1,Average,Laptop/Desktop,1,0,8,1,5,2,4,Remain Constant,0,Whatever want,0,0,Eating outside,,,
R241,Outside Delhi-NCR,14,3,Good,Laptop/Desktop,2,0,8,1,7,1,1,Increased,0,Cooking,1,1,School/college,,,
R242,Outside Delhi-NCR,19,0,NA,NA,2,1,8,4,6,0,3,Remain Constant,0,Online gaming,1,1,"Friends , relatives",,,
R243,Outside Delhi-NCR,16,7,Average,Smartphone,3,2,11,1.5,6,1,3,Decreased,1,Online gaming,0,1,School/college,,,
R244,Delhi-NCR,17,6,Average,Smartphone,2,1,9,3,6,0.5,3,Remain Constant,0,Sleep,0,1,"Friends , relatives",,,
R245,Delhi-NCR,20,1,Very poor,Tablet,2,2,8,1,5,0,2,Decreased,0,Reading books,0,1,School/college,,,
R246,Delhi-NCR,17,4,Good,Smartphone,2,0,7,3,6,2,4,Increased,0,Social Media,1,1,School/college,,,
R247,Delhi-NCR,20,6,Average,Any Gadget,2,0,6,4,6,0,3,Increased,0,Listening to music,0,0,Roaming around freely,,,
R249,Outside Delhi-NCR,17,5,Average,Smartphone,4,2,7,2,5,2,2,Increased,0,Online gaming,0,1,School/college,,,
R250,Delhi-NCR,21,3,Very poor,Laptop/Desktop,2,0,7,2,3,2,3,Remain Constant,0,Online gaming,1,0,Going to the movies,,,
R251,Delhi-NCR,16,4,Poor,Laptop/Desktop,0,0,9,1,7,1,2,Remain Constant,0,Listening to music,0,1,School/college,,,
R252,Delhi-NCR,21,5,Average,Smartphone,2,2,6,5,6,0,3,Increased,0,Scrolling through social media,0,1,Roaming around freely,,,
R253,Delhi-NCR,18,0,NA,NA,8,0.5,5,3,1,1,3,Remain Constant,0,Dancing,1,1,Travelling,,,
R254,Outside Delhi-NCR,20,4,Good,Laptop/Desktop,5,1,7,0.1,7,0,4,Remain Constant,0,Reading,0,0,School/college,,,
R255,Outside Delhi-NCR,14,4,Average,Smartphone,4,0,8,2,6,2,3,Increased,0,Listening to music,0,1,School/college,,,
R256,Delhi-NCR,19,3,Good,Laptop/Desktop,2,0,8,5,5,1.5,3,Increased,0,Web Series,0,1,School/college,,,
R257,Delhi-NCR,18,0,Very poor,Laptop/Desktop,3,0,8,4,3,1,3,Increased,0,Watching web series,0,1,"Friends , relatives",,,
R258,Outside Delhi-NCR,13,5,Very poor,Laptop/Desktop,4,1,8,10,7,0,3,Decreased,0,Cooking,0,0,School/college,,,
R259,Outside Delhi-NCR,20,4,Very poor,Laptop/Desktop,8,0,6,1,6,0,3,Decreased,0,Listening to music,1,1,Eating outside,,,
R260,Outside Delhi-NCR,19,0,Very poor,Laptop/Desktop,4,0.3,8,2,7,0,2,Remain Constant,0,Talking to your relatives,0,0,School/college,,,
R261,Outside Delhi-NCR,15,5,Average,Smartphone,1,0,7,1,5,1.5,3,Remain Constant,0,Online gaming,0,1,School/college,,,
R262,Outside Delhi-NCR,20,1,Very poor,Smartphone,0,0,10,5,5,1,2,Increased,1,Sleep,0,1,School/college,,,
R263,Delhi-NCR,19,0,Very poor,Laptop/Desktop,1,0,8,4,2,2,3,Increased,0,Watching web series,0,0,"Friends , relatives",,,
R264,Outside Delhi-NCR,21,3,Good,Laptop/Desktop,3,1,6,0.5,7,0.5,2,Increased,1,Listening to music,1,0,Travelling,,,
R265,Outside Delhi-NCR,20,4,Very poor,Laptop/Desktop,2,1,8,4,5,0,4,Increased,0,Listening to music,0,1,"Friends , relatives",,,
R266,Delhi-NCR,20,4,Good,Laptop/Desktop,5,1,6,2,5,0.5,2,Remain Constant,0,Listening to music,0,1,Colleagues,,,
R267,Outside Delhi-NCR,16,6,Good,Laptop/Desktop,3,0,7,1,7,1,3,Remain Constant,0,Listening to music,0,0,School/college,,,
R268,Delhi-NCR,21,2,Poor,Laptop/Desktop,2,1,5,3,7,1,3,Remain Constant,0,Reading books,1,1,Roaming around freely,,,
R269,Delhi-NCR,17,5.5,Good,Smartphone,5,1,9,1,5,1,3,Remain Constant,0,Listening to music,0,1,Colleagues,,,
R270,Delhi-NCR,21,0,Average,Laptop/Desktop,8,0,7,3,5,0,3,Remain Constant,0,Reading books,1,1,0thing,,,
R271,Delhi-NCR,20,0,Good,Smartphone,0,0,7.5,3.5,5,2,3,Remain Constant,0,Indoor Games,1,1,0thing,,,
R272,Delhi-NCR,21,4,Average,Laptop/Desktop,2,1,8,3,6,0,2,Remain Constant,0,Online gaming,0,0,Eating outside,,,
R273,Delhi-NCR,20,3,Very poor,Smartphone,5,1,7,1,7,0,3,Increased,0,Sleep,0,1,Roaming around freely,,,
R274,Outside Delhi-NCR,16,4,Poor,Smartphone or Laptop/Desktop,2.5,0.5,6,0.5,7,1,3,Remain Constant,0,"watching movies,reading books,games,listening to music,sleep,dancing",1,1,"school, relatives and friends",,,
R275,Outside Delhi-NCR,19,0,Very poor,Laptop/Desktop,8,1,8,2,7,0,2,Increased,1,Cooking,1,1,Roaming around freely,,,
R276,Delhi-NCR,19,1,Very poor,Laptop/Desktop,3,0,8,3,6,3,3,Increased,1,Listening to music,1,1,Roaming around freely,,,
R278,Outside Delhi-NCR,19,1,Excellent,Laptop/Desktop,1,3,9,2,5,0,5,Remain Constant,0,Listening to music,0,1,Travelling,,,
R279,Delhi-NCR,20,2,Good,Laptop/Desktop,1,0,10,1,7,0,2,Remain Constant,0,Online gaming,0,1,Colleagues,,,
R280,Delhi-NCR,19,2,Average,Smartphone,3,1,9,3,7,3,3,Increased,0,Sleep,0,1,School/college,,,
R281,Outside Delhi-NCR,17,7,Average,Laptop/Desktop,2,0,6,2,5,2,2,Increased,0,Sleep,1,1,School/college,,,
R282,Delhi-NCR,21,0,Very poor,Laptop/Desktop,2,0,8,3,7,5,3,Decreased,0,Watching web series,0,0,Roaming around freely,,,
R283,Outside Delhi-NCR,17,6,Good,Smartphone,4,0,7,1,7,2,3,Decreased,0,Listening to music,1,0,School/college,,,
R285,Delhi-NCR,25,5,Average,Laptop/Desktop,6,0,8,1,6,0,3,Remain Constant,0,Listening to music,1,0,Roaming around freely,,,
R286,Delhi-NCR,19,3,Average,Laptop/Desktop,6,0.5,8,0.6,1,1.5,4,Increased,0,Reading books,1,1,School/college,,,
R287,Delhi-NCR,16,5,Very poor,Smartphone,2,1,8,2,7,0,3,Increased,0,Online gaming,0,1,"Friends , relatives",,,
R288,Delhi-NCR,17,7,Good,Smartphone,5,0.5,7,2,7,2,3,Increased,0,Online gaming,0,0,All ,,,
R289,Delhi-NCR,18,1,Average,Smartphone,2,0,10,1,6,0.5,2,Remain Constant,0,Reading books,0,0,Roaming around freely,,,
R290,Outside Delhi-NCR,20,5,Excellent,Laptop/Desktop,1,1,8,3,6,0,3,Remain Constant,0,Listening to music,1,0,"Friends , relatives",,,
R291,Delhi-NCR,20,3,Very poor,Laptop/Desktop,9,1,6,1,7,0,1,Increased,0,Meditation,0,1,Roaming around freely,,,
R292,Delhi-NCR,20,1,Very poor,Laptop/Desktop,3,1,9,4,6,0,2,Increased,0,Scrolling through social media,1,1,School/college,,,
R293,Delhi-NCR,22,3,Average,Smartphone,3,0,8,2,6,1,3,Increased,0,Talking to your relatives,0,0,School/college,,,
R294,Outside Delhi-NCR,16,7,Excellent,Tablet,2,1,6,2,7,0,3,Decreased,0,Online surfing,1,0,School/college,,,
R295,Delhi-NCR,19,2,Very poor,Laptop/Desktop,1,1,7,5,6,1,4,Remain Constant,0,Talking to your relatives,0,1,"Friends , relatives",,,
R296,Outside Delhi-NCR,17,9,Average,Laptop/Desktop,5,1,6,1,5,0,3,Decreased,0,Listening to music,1,0,Travelling,,,
R297,Outside Delhi-NCR,20,0,Average,Laptop/Desktop,1,0,9,5,7,2,4,Remain Constant,1,Listening to music,1,1,Travelling,,,
R298,Delhi-NCR,21,0,Very poor,Laptop/Desktop,6,0,6,4,5,2,3,Increased,0,Meditation,0,1,Roaming around freely,,,
R299,Outside Delhi-NCR,19,2,Very poor,Laptop/Desktop,3,1,8,1,6,2,4,Remain Constant,0,Watching web series,1,1,Travelling,,,
R301,Delhi-NCR,17,8,Very poor,Smartphone,2,1,9,0,7,0,3,Remain Constant,0,Listening to music,0,0,All,,,
R302,Outside Delhi-NCR,25,1,Average,Laptop/Desktop,3,1,7,3,7,2,3,Increased,0,Reading books,0,1,Travelling,,,
R303,Delhi-NCR,20,3,Average,Smartphone,2,0.5,8,3,7,0,3,Remain Constant,0,Listening to music,0,1,"Friends , relatives",,,
R304,Outside Delhi-NCR,21,0,Very poor,NA,1,0,10,3,6,2,3,Remain Constant,0,Watching web series,0,0,Roaming around freely,,,
R305,Outside Delhi-NCR,19,5,Excellent,Smartphone,5,1,7,2,5,3,3,Increased,0,Sleep,0,1,Travelling,,,
R306,Delhi-NCR,23,5,Average,Smartphone,5,1,8,1,7,2,3,Remain Constant,0,gardening cartoon,1,1,Roaming around freely,,,
R307,Outside Delhi-NCR,22,2,Average,Laptop/Desktop,8,1,8,2,1,1,2,Remain Constant,0,Listening to music,1,0,School/college,,,
R308,Outside Delhi-NCR,22,4,Average,Laptop/Desktop,1,1,8,4,5,1,3,Increased,0,Online surfing,1,0,Roaming around freely,,,
R309,Outside Delhi-NCR,18,0,NA,NA,1,1,12,4,6,0,3,Remain Constant,0,Online gaming,1,1,"Friends , relatives",,,
R310,Delhi-NCR,21,3,Average,Laptop/Desktop,3,2,6.5,2,5,2,2,Increased,0,Scrolling through social media,0,1,"Friends , relatives",,,
R311,Outside Delhi-NCR,22,1,Average,Smartphone,3,1,8,1,6,0,2,Decreased,1,Cooking,0,0,Roaming around freely,,,
R312,Outside Delhi-NCR,24,3,Very poor,Laptop/Desktop,4,0,6,3,7,4,3,Remain Constant,0,Listening to music,0,0,School/college,,,
R313,Delhi-NCR,14,3,Average,Tablet,6,3,7,3,6,1,2,Remain Constant,0,"listening to music,reading books and dancing.",1,1,all of the above,,,
R314,Outside Delhi-NCR,16,4,Very poor,Smartphone,3,0,8,4,5,0,4,Remain Constant,0,Dont get distreessed,1,0,0thing ,,,
R315,Delhi-NCR,19,1,Average,Laptop/Desktop,3,2,7,1,6,2,2,Remain Constant,1,Online gaming,0,0,School/college,,,
R316,Outside Delhi-NCR,21,5,Very poor,Laptop/Desktop,3,2,10,6,5,1,3,Increased,1,Online gaming,1,0,Eating outside,,,
R317,Delhi-NCR,17,2,Average,Laptop/Desktop,5,0,8,4,5,0,3,Remain Constant,0," listening music, motion design, graphic design, sleeping.",1,0,Eating outside and friends.,,,
R318,Delhi-NCR,16,4,Good,Smartphone,2,0.5,9,1,6,0.1,3,Increased,0,Sleeping,0,1,Colleagues,,,
R320,Delhi-NCR,29,8,Good,Laptop/Desktop,2,1,8,0.5,6,2,4,Remain Constant,0,Web Series,0,0,Travelling,,,
R321,Outside Delhi-NCR,26,1,Good,Laptop/Desktop,4,0,6,6,3,4,3,Remain Constant,0,Talking,0,1,Travelling,,,
R322,Delhi-NCR,21,5,Very poor,Smartphone,2,1,12,2,6,1,4,Increased,0,Listening to music,1,0,School/college,,,
R323,Outside Delhi-NCR,18,0,Very poor,Smartphone,0,2,7,6,6,0,4,Increased,0,Business,1,1,"Friends , relatives",,,
R324,Delhi-NCR,19,3,Very poor,Smartphone,0,0,12,5,6,0,3,Decreased,0,Online gaming,0,0,Eating outside,,,
R325,Delhi-NCR,21,2,Average,Laptop/Desktop,2,1,10,2,5,0.25,3,Remain Constant,0,Sleep,1,0,School/college,,,
R326,Delhi-NCR,12,1,Good,Laptop/Desktop,3,2,8,2,5,1,4,Increased,0,Reading,1,1,Colleagues,,,
R327,Delhi-NCR,26,0,Very poor,Smartphone,1,1,7,1,7,2,2,Decreased,0,Online gaming,0,1,Travelling,,,
R328,Outside Delhi-NCR,20,6,Very poor,Laptop/Desktop,6,0,6,3,7,0,4,Increased,0,Reading books,0,1,School/college,,,
R329,Delhi-NCR,16,4,Very poor,Smartphone,2,1,9,2,5,1,2,Decreased,0,Many among these ,0,0,Travelling,,,
R330,Delhi-NCR,21,0,Average,Laptop/Desktop,2,0,10,5,2,1,3,Increased,0,Listening to music,1,0,School/college,,,
R331,Outside Delhi-NCR,21,5,Average,Laptop/Desktop,2,0,8,0.5,7,1,2,Increased,0,Sleep,0,1,"Friends , relatives",,,
R332,Delhi-NCR,20,6,Average,Laptop/Desktop,4,0,7,1,1,0,3,Increased,0,Cooking,1,1,School/college,,,
R333,Delhi-NCR,21,0,Very poor,Laptop/Desktop,2,1,7,1,6,0,4,Remain Constant,1,Listening to music,1,0,Travelling,,,
R334,Outside Delhi-NCR,21,2,Average,Smartphone,2,1,7,1,7,4,3,Remain Constant,0,Online surfing,1,0,All above,,,
R335,Delhi-NCR,19,1,Very poor,Laptop/Desktop,0,0,12,10,6,2,2,Remain Constant,0,Online gaming,0,0,0thing,,,
R336,Outside Delhi-NCR,21,2,Average,Laptop/Desktop,2,0,8,2,6,1,3,Remain Constant,1,Reading books,0,1,Eating outside,,,
R337,Delhi-NCR,14,5,Average,Smartphone,2.3,0,8,2,5,3,2,Remain Constant,0,Scrolling through social media,1,1,Travelling,,,
R338,Delhi-NCR,22,1,Average,Laptop/Desktop,2,0,11,3,7,3,2,Increased,1,Dancing,0,0,"Friends , relatives",,,
R339,Delhi-NCR,19,2,Average,Smartphone,2.5,0,9,2,3,1,3,Remain Constant,0,Online surfing,0,0,"Nah, this is my usual lifestyle anyway, just being lazy....",,,
R340,Outside Delhi-NCR,18,4,Average,Smartphone,1,1,12,1,6,1,2,Increased,0,Watching web series,0,1,All,,,
R341,Outside Delhi-NCR,16,8,Average,Laptop/Desktop,6,0,6,1,5,0,4,Remain Constant,0,Watching web series,1,0,"Friends , relatives",,,
R342,Outside Delhi-NCR,43,2,Average,Smartphone,0,1,6,2,3,0.5,3,Increased,0,Talk with childhood friends.,0,1,Family ,,,
R343,Outside Delhi-NCR,15,4,Very poor,Tablet,10,0,8,1,2,1,3,Remain Constant,0,Listening to music,0,1,"Friends , relatives",,,
R344,Outside Delhi-NCR,32,1,Very poor,Laptop/Desktop,10,1,8,2,2,0,3,Increased,0,Reading books,1,1,School/college,,,
R345,Delhi-NCR,15,3,Good,Laptop/Desktop,3,1,7,1,5,2,2,Increased,0,Sleeping,1,1,Colleagues,,,
R346,Outside Delhi-NCR,22,0,NA,NA,5,1,7,2,5,1,4,Increased,0,Watching web series,0,1,School/college,,,
R347,Delhi-NCR,16,4,Average,NA,4,1,6,1,7,1,3,Increased,0,Listening to music,1,1,"Friends , relatives",,,
R348,Outside Delhi-NCR,21,2,Very poor,NA,4,0,9,2,7,0,4,Remain Constant,0,Sleep,0,1,Travelling,,,
R349,Outside Delhi-NCR,14,5,Good,NA,2,1,9,1,7,1,4,Increased,0,Talking,0,1,School/college,,,
R350,Delhi-NCR,19,2,Very poor,NA,1,1,11,3,7,0,2,Increased,0,Listening to music,0,0,"Friends , relatives",,,
R351,Outside Delhi-NCR,18,1.5,Average,NA,2,1,8,1,7,0.5,2,Remain Constant,0,Meditation,1,1,School/college,,,
R352,Delhi-NCR,11,4,Average,NA,2,2,10,1,7,3,4,Remain Constant,0,Playing ,0,1,Roaming around freely,,,
R353,Delhi-NCR,24,0.5,Average,NA,2,0,8,1,6,0,3,Remain Constant,0,Watching web series,1,1,Eating outside,,,
R354,Outside Delhi-NCR,21,3,Average,Laptop/Desktop,3,1,8,2,6,0,3,Increased,0,Watching web series,0,1,Eating outside,,,
R355,Delhi-NCR,15,5,Average,Smartphone,3,3,8,3,6,2,3,Remain Constant,0,Online gaming,1,1,School/college,,,
R356,Delhi-NCR,34,2,Average,Laptop/Desktop,3,1,7,2,2,1,3,Remain Constant,0,Sleep,1,1,Travelling,,,
R357,Delhi-NCR,17,0.75,Average,Smartphone,5,1,6,2,5,2,1,Increased,1,Reading books,0,1,School/college,,,
R358,Delhi-NCR,12,1,Excellent,Smartphone,2,1,9,2,5,1,3,Increased,0,Online gaming,1,1,School/college,,,
R359,Delhi-NCR,16,1,Average,Smartphone,2,1,7,2,7,3,3,Remain Constant,0,Listening to music,0,1,School/college,,,
R360,Delhi-NCR,17,7,Average,Laptop/Desktop,8,1,6,1,7,1,3,Increased,0,Listening to music,1,1,School/college,,,
R361,Delhi-NCR,14,2.5,Good,Smartphone,1,0.5,6,2,5,1,2,Decreased,0,Cooking,1,1,Colleagues,,,
R362,Outside Delhi-NCR,16,4,Average,Smartphone,5,1,6,2,7,2,2,Remain Constant,0,Dancing,1,0,Travelling,,,
R363,Delhi-NCR,13,2,Excellent,Smartphone,1,3,11,3,5,2,4,Increased,0,Reading books,0,1,Eating outside,,,
R364,Delhi-NCR,23,0,Average,Laptop/Desktop,2,0,7,3,1,0,3,Remain Constant,0,Listening to music,1,0,Roaming around freely,,,
R365,Delhi-NCR,21,6,Very poor,Smartphone,0,1,7,4,6,1,4,Increased,0,Listening to music,1,1,Only friends,,,
R366,Outside Delhi-NCR,31,4,Excellent,Laptop/Desktop,2,1,8,1,3,1,3,Increased,0,Sleep,1,0,School/college,,,
R367,Delhi-NCR,23,5,Excellent,Smartphone,1,1,9,2,7,0,4,Decreased,0,Online gaming,1,1,Football,,,
R368,Delhi-NCR,13,1,Excellent,Smartphone,5,3,6,2,6,2,7,Increased,0,Exercise,1,1,School/college,,,
R369,Delhi-NCR,21,3,Average,Laptop/Desktop,0,1,8,3,6,0,3,Increased,1,Listening to music,0,0,School/college,,,
R370,Delhi-NCR,17,6,Average,Laptop/Desktop,2.5,1,6,0,0,0.5,3,Remain Constant,0,Reading books,1,1,Roaming around freely,,,
R371,Delhi-NCR,23,3,Good,Laptop/Desktop,3,0,7,2,1,0,3,Remain Constant,0,Cooking,0,1,Travelling,,,
R372,Delhi-NCR,13,1,Excellent,Smartphone,2,0,8,0,0,4,3,Increased,0,Watching web series,1,0,"Friends , relatives",,,
R373,Delhi-NCR,20,1,Average,Laptop/Desktop,2.5,0,6,4,6,1,3,Remain Constant,0,Online gaming,1,1,Roaming around freely,,,
R374,Delhi-NCR,13,0.5,Average,Smartphone,2,2,10,2,5,0,3,Increased,0,Online gaming,1,0,School/college,,,
R375,Delhi-NCR,14,2,Excellent,Smartphone,1,1,8,1,7,2,1,Increased,1,Online gaming,1,1,School/college,,,
R376,Delhi-NCR,40,1,Average,Laptop/Desktop,2,1,6,4,7,0,2,Remain Constant,0,Online surfing,0,1,Eating outside,,,
R377,Delhi-NCR,12,1,Excellent,Smartphone,1.2,0.5,10,0,7,2,3,Increased,0,Talking to your relatives,1,1,"Friends , relatives",,,
R378,Delhi-NCR,20,3,Very poor,Laptop/Desktop,2,1,8,4,1,0,3,Remain Constant,1,Listening to music,0,1,Travelling,,,
R379,Delhi-NCR,12,1,Good,Smartphone,2,0.5,8,2,7,2,4,Remain Constant,0,Listening to music,0,1,Travelling,,,
R380,Delhi-NCR,21,3,Average,Laptop/Desktop,3,0,8,2,6,0,4,Decreased,0,Sleep,0,1,Travelling,,,
R381,Delhi-NCR,42,4,Good,Laptop/Desktop,3,0,7,1,3,0.5,2,Increased,0,Social Media,1,1,Travelling,,,
R382,Outside Delhi-NCR,20,3,Good,Smartphone,4,2,7,4,7,0.5,4,Remain Constant,1,Talking,0,1,School/college,,,
R383,Delhi-NCR,28,0,NA,NA,4,2,7,2,2,2,2,Decreased,0,Meditation,1,1,Travelling,,,
R384,Delhi-NCR,40,2,Good,NA,1,1,8,1,7,1,2,Remain Constant,0,Web Series,1,1,Travelling,,,
R385,Delhi-NCR,14,3,Excellent,NA,2,0,12,2,3,3,1,Decreased,0,Online gaming,0,0,School/college,,,
R386,Delhi-NCR,12,1,Average,NA,1,0,12,1,5,1,1,Remain Constant,0,Reading books,0,1,"Friends , relatives",,,
R387,Delhi-NCR,14,4,Average,NA,2,1,8,2,7,1,3,Remain Constant,0,Listening to music,1,0,"Friends , relatives",,,
R388,Delhi-NCR,22,0,Average,NA,0,0,9,2,1,2,3,Remain Constant,0,Talking to friends,0,0,Roaming around freely,,,
R389,Outside Delhi-NCR,40,4,Average,NA,4,0,8,2,7,1,3,Increased,0,Listening to music,0,1,Travelling,,,
R390,Outside Delhi-NCR,21,4,Very poor,NA,3,1,6,2,5,5,2,Remain Constant,0,Meditation,0,1,0rmal life,,,
R391,Delhi-NCR,23,3,Good,Smartphone,1,0,6,2,7,3,3,Remain Constant,0,Listening to music,0,1,Colleagues,,,
R392,Delhi-NCR,12,2,Excellent,Smartphone,2,1,10,1,5,1,4,Remain Constant,0,Reading books,1,1,School/college,,,
R393,Outside Delhi-NCR,17,2,Excellent,Smartphone,3,1,6,2,7,2,1,Increased,0,Talking to your relatives,1,1,School/college,,,
R394,Outside Delhi-NCR,18,1,Average,Laptop/Desktop,1,0,8,4,6,0,3,Decreased,0,Watching web series,1,1,Roaming around freely,,,
R395,Outside Delhi-NCR,20,1,Average,Laptop/Desktop,2,2,9,4,6,5,2,Remain Constant,0,Listening to music,1,0,Travelling,,,
R396,Outside Delhi-NCR,17,5,Average,Smartphone,3,1,6,1,3,2,1,Remain Constant,0,Online gaming,1,1,School/college,,,
R397,Delhi-NCR,20,1,Average,Laptop/Desktop,4,0,8,3,6,0,3,Remain Constant,0,Watching web series,0,0,"Friends , relatives",,,
