Age_of_Subject,Time_spent_on_Online_Class,Rating_of_Online_Class_experience,Medium_for_online_class,Time_spent_on_self_study,Time_spent_on_fitness,Time_spent_on_sleep,Prefered_social_media_platform,Number_of_meals_per_day,Change_in_your_weight,Health_issue_during_lockdown,Time_utilized,Family_Relation,Mental_Health,Time_spent_on_social_media
21,0.03012327835649886,3,1,2.0,1.0,6.969876721643502,6,3,1,0,0,0,0,2
12,1.0,1,1,2.22399468675299,1.22399468675299,8.77600531324701,5,3,1,0,1,1,1,2
21,3.0,4,1,3.0,0.5509583792876149,8.0,6,3,1,0,0,0,1,2
19,3.6189265953235217,3,1,3.3810734046764783,1.6189265953235217,8.0,6,4,0,0,1,1,1,2
18,2.0,1,0,3.0,1.0,7.529265781808493,5,3,0,1,1,1,1,2
21,1.0431230989829903,3,1,7.95687690101701,0.04312309898299027,8.04312309898299,5,2,2,0,0,0,1,2
18,2.0,4,1,3.0,0.9120893456718244,8.0,5,3,1,0,0,0,0,2
21,0.0,0,0,5.118302837166482,1.0,7.236605674332964,5,4,1,0,0,1,1,2
20,4.862945669964154,3,1,5.862945669964154,0.0,6.862945669964154,1,2,1,0,1,1,1,2
21,5.0,3,1,2.0,0.9251331199356551,11.85026623987131,6,3,1,0,1,0,1,2
22,3.3829927802855257,3,1,6.0,1.0,5.617007219714474,6,3,0,0,0,0,0,3
16,6.112331035813471,4,1,2.1123310358134706,0.8876689641865293,8.88766896418653,5,2,0,0,0,0,0,3
21,0.26875599624708274,3,1,1.4624880075058346,0.5375119924941655,8.0,6,3,1,0,0,0,0,3
19,2.0,3,1,1.26512962790887,2.0,8.0,5,4,1,0,1,0,0,3
19,4.0,1,1,5.663917798646603,0.0,8.0,2,3,1,0,0,1,0,3
14,4.546135822755023,2,3,3.0,1.0,9.0,6,2,2,0,1,1,0,3
20,5.0,1,1,4.0474188657295604,0.9525811342704398,7.0474188657295604,5,2,0,0,1,0,0,3
21,4.0,1,2,2.114154610348551,1.0,7.114154610348551,6,3,0,0,1,1,0,3
21,3.9823506203269816,3,1,3.9823506203269816,1.0,8.0,6,2,1,0,0,0,0,3
20,2.0,4,1,2.257605133046717,2.0,7.742394866953283,6,2,0,0,1,1,0,3
19,1.7721101590418133,3,2,2.151926560638791,0.5759632803193955,9.151926560638792,6,2,1,0,0,0,0,3
16,2.2677395608182356,2,2,3.0,1.0,7.732260439181765,6,2,0,0,0,0,0,3
20,5.0,2,1,1.0,0.7380144484948896,8.0,6,3,0,0,0,0,0,3
16,6.948549202822718,4,1,2.9485492028227176,0.051450797177282626,8.051450797177283,5,2,0,0,0,0,0,3
18,2.0,1,2,2.270224710772637,1.0,8.0,7,1,1,0,0,1,0,3
20,6.027595857008623,4,2,2.0,0.9724041429913771,8.0,6,2,0,0,0,1,0,3
21,1.3226825343412218,3,1,0.0,1.0,7.0,6,2,0,0,1,1,0,3
20,1.8097995992283487,4,0,2.1902004007716513,2.1902004007716513,8.0,6,3,0,0,1,1,0,3
21,1.5569307606292129,4,1,1.4430692393707871,0.0,11.556930760629212,6,2,1,0,0,0,0,3
38,2.0,3,1,3.890758971042648,0.10924102895735188,6.781517942085296,7,3,1,0,0,0,0,3
20,5.059215171433426,3,1,0.9703924142832873,0.0,8.0,6,3,0,0,0,0,0,3
20,1.6115201627237448,1,1,4.2230403254474895,0.38847983727625524,12.0,5,4,0,0,0,0,0,3
23,2.0,3,2,2.0,0.5534610043761204,6.0,7,2,1,0,0,0,0,3
18,3.8088449153323753,3,1,1.0,1.0,9.617689830664752,7,4,0,0,0,0,0,3
22,4.782320647860198,4,1,4.0,0.0,8.108839676069902,1,2,1,0,0,1,0,3
22,1.4742275911391953,3,2,1.0,0.0,9.0,5,2,1,0,0,1,0,3
20,3.424759574534903,4,2,3.0,1.0,11.0,3,3,0,0,0,0,0,3
13,3.390850877625702,1,1,1.3908508776257018,0.0,8.781701755251405,5,4,0,0,0,1,0,3
18,6.0,3,1,4.482296666987846,0.4822966669878459,7.0,6,4,1,0,1,1,0,3
23,0.0,4,1,1.4029609857430334,0.5970390142569666,8.194078028513934,1,3,0,0,1,0,0,3
21,1.3230199493992587,3,1,0.0,1.0,7.0,6,2,0,0,1,1,0,3
21,3.0,3,1,3.0,1.0,8.0,6,2,1,0,0,0,0,3
21,0.3056092396856374,3,1,1.3887815206287253,0.6112184793712748,8.0,6,3,1,0,0,0,0,3
20,6.0,4,1,2.0,1.4509495068403633,7.0,7,3,2,0,1,0,0,3
13,1.2469210572498888,1,2,2.0,1.0,8.0,5,3,0,0,0,1,0,3
19,4.0,3,1,3.0,1.0,7.420421102219108,6,3,1,0,1,1,0,3
16,2.044119317285836,2,2,3.0,1.0,7.955880682714164,6,2,0,0,0,0,0,3
18,3.405559937184475,3,2,2.594440062815525,0.594440062815525,10.594440062815526,3,2,0,0,0,1,0,3
21,3.0,1,1,3.0,1.0,8.0,6,4,0,0,0,0,0,3
15,5.0,3,2,1.149538431361027,0.07476921568051353,9.925230784319487,6,2,2,0,0,0,0,3
21,0.4376205945046735,3,0,0.5623794054953265,0.0,9.562379405495326,6,3,0,0,0,0,0,3
18,5.0,1,2,2.906128161651043,1.8122563233020856,8.187743676697915,5,2,0,0,0,1,0,3
24,2.0,4,2,4.853770584443249,0.0,6.0,6,4,1,0,0,0,0,3
21,2.0,4,1,2.0,0.8645349446400648,5.135465055359935,7,3,0,0,0,0,0,3
14,3.75125534073262,2,1,4.2487446592673805,1.62437232963369,9.62437232963369,4,3,2,0,1,1,0,3
19,6.0,3,1,4.330011141540051,1.0,6.330011141540051,6,3,0,0,1,1,0,3
20,2.4522059952244533,3,2,2.0,0.0,6.547794004775547,6,2,0,0,0,0,0,3
20,0.9406089211201456,3,1,3.9010148685335757,0.09898513146642407,8.0,6,3,0,0,0,0,0,3
22,4.496898693408863,4,1,4.0,0.0,8.251550653295569,1,2,1,0,0,1,0,3
20,2.1906159713426137,3,1,2.0,2.0,7.809384028657386,6,2,0,0,1,1,0,3
24,2.0741903452791965,3,1,4.0,0.0,6.0,6,3,0,0,0,0,0,3
15,3.2002245680154706,3,2,3.2002245680154706,0.8998877159922646,7.0,5,2,0,0,0,0,0,3
15,5.0,3,1,3.0,1.0,9.43454588521158,6,3,1,0,1,1,0,3
22,2.0213463370361495,4,1,4.9786536629638505,0.0213463370361493,8.0,6,3,0,0,1,0,0,3
23,2.0,3,2,2.0,0.7851013157288169,6.0,7,2,1,0,0,0,0,3
19,4.182582550273829,3,2,2.817417449726171,0.817417449726171,7.0,6,3,1,0,1,1,0,3
22,3.0,4,1,2.0,0.42356258405929503,6.576437415940705,3,3,0,0,1,1,0,3
21,3.643641017529192,3,1,2.356358982470808,1.0,8.0,6,2,0,0,0,0,0,3
22,2.7628661471279488,4,1,4.237133852872051,0.7628661471279486,8.0,6,3,0,0,1,0,0,3
20,2.0,4,1,2.467187833097632,2.0,7.532812166902368,6,2,0,0,1,1,0,3
11,1.3640557225970689,1,1,1.0,1.7281114451941377,13.543777109611725,5,4,1,0,0,1,0,3
21,3.0,3,1,3.0,1.0,8.0,6,2,1,0,0,0,0,3
20,3.0,2,1,1.4924924715508585,0.24624623577542926,11.0,2,1,0,0,0,0,0,3
21,2.1120363220291845,1,1,4.1120363220291845,0.11203632202918468,7.1120363220291845,1,4,0,0,1,1,0,3
19,4.21297768079622,3,2,2.78702231920378,0.7870223192037803,7.0,6,3,1,0,1,1,0,3
22,3.0,4,1,2.0,0.3004106611579843,6.699589338842015,4,3,0,0,1,1,0,3
20,1.0,1,1,3.0,1.0,11.84810992917049,5,3,0,0,1,1,0,3
19,4.0,1,1,5.890764143720427,0.0,8.0,2,3,1,0,0,1,0,3
20,1.0,1,1,3.0,1.0,10.710030503464736,5,3,0,0,1,1,0,3
20,5.0,1,1,4.176822034125995,0.8231779658740047,7.176822034125995,5,2,0,0,1,0,0,3
20,1.0,1,1,3.0,1.0,10.762992236962404,5,3,0,0,1,1,0,3
21,0.965990911854203,3,0,0.03400908814579695,0.0,9.034009088145798,6,3,0,0,0,0,0,3
15,5.0,4,1,3.0,1.2255588757654352,9.774441124234565,6,3,0,0,1,1,0,3
19,2.502842101189221,4,2,2.497157898810779,0.7485789494053896,8.49715789881078,7,3,0,0,0,1,0,3
21,3.0,4,1,0.0,0.026160275909343444,8.0,6,3,1,1,0,0,0,3
22,3.8918211978282593,3,1,6.0,1.0,5.108178802171741,5,3,0,0,0,0,0,3
24,2.0074091577185373,3,1,4.0,0.0,6.0,6,3,0,0,0,0,0,3
21,4.0,1,2,2.2802506498120216,1.0,7.280250649812022,6,3,0,0,1,1,0,3
24,5.106989093342211,1,1,0.8930109066577896,0.7767472733355526,7.0,5,2,0,0,0,1,0,3
19,1.8516330567500958,4,1,2.0,1.8516330567500958,7.851633056750096,6,3,0,0,0,1,0,3
22,4.0,1,1,2.0,0.7371651873415257,7.0,5,3,0,0,1,1,0,3
19,3.2774632752809536,4,2,2.2774632752809536,0.2774632752809534,7.0,5,2,1,0,0,1,0,3
18,0.8416588156645415,3,1,1.683317631329083,0.8416588156645415,7.0,6,3,0,0,0,1,0,3
21,0.0975624845490301,3,1,1.8048750309019397,0.1951249690980602,8.0,6,3,1,0,0,0,0,3
20,1.8563142024079449,4,0,2.143685797592055,2.143685797592055,8.0,6,3,0,0,1,1,0,3
20,5.0,1,1,4.307791717538025,0.6922082824619743,7.307791717538025,5,2,0,0,1,0,0,3
23,3.8851736909085384,1,1,2.0,1.0,6.885173690908538,1,3,0,0,1,1,0,3
21,2.232053228270464,1,1,4.232053228270464,0.23205322827046404,7.232053228270464,1,4,0,0,1,1,0,3
18,5.0,1,2,2.9049436000701614,1.8098872001403232,8.190112799859676,5,2,0,0,0,1,0,3
20,2.0,4,1,2.103124774162424,2.0,7.896875225837576,6,2,0,0,1,1,0,3
22,0.0,1,1,3.7128664714788564,1.0,7.287133528521144,6,3,1,0,0,0,0,3
20,0.19062430738941127,3,1,5.319198902180674,0.8638397804361349,8.72767956087227,5,3,1,0,1,1,0,3
22,3.331404458272406,4,1,3.668595541727594,1.0,8.0,7,3,0,0,1,0,0,3
21,5.86655124402863,4,2,2.1334487559713704,0.8665512440286297,8.0,6,3,0,0,0,1,0,3
20,0.0,3,0,1.528207687737106,0.0,10.0,6,3,0,0,0,0,0,3
22,1.1245112181450971,3,2,1.0,0.0,9.0,5,2,1,0,0,1,0,3
20,5.0,2,1,1.0,0.6572347261898194,8.0,6,3,0,0,0,0,0,3
13,3.0,3,2,1.0,0.8915380218070568,7.738974652128629,5,3,0,0,0,0,0,3
20,5.0,1,1,4.831289742581963,0.16871025741803736,7.831289742581963,5,2,0,0,1,0,0,3
13,1.2102743260233075,1,2,2.0,1.0,8.0,5,3,0,0,0,1,0,3
20,6.0,4,1,2.0,1.242637219986975,7.0,7,3,2,0,1,0,0,3
14,4.185410597312708,4,2,4.221884104030938,3.0,7.5927052986563535,6,2,0,0,1,1,0,3
20,6.7814312289625835,4,2,2.0,0.218568771037416,8.0,6,2,0,0,0,1,0,3
19,1.5119854366797556,4,1,2.0,1.5119854366797556,7.511985436679756,6,3,0,0,0,1,0,3
21,3.379053616154139,3,1,2.620946383845861,1.0,8.0,6,2,0,0,0,0,0,3
15,5.0,3,2,2.9110527076492687,0.9555263538246344,9.044473646175366,6,2,2,0,0,0,0,3
19,0.8691455745423831,3,2,2.753902950305078,0.8769514751525389,9.753902950305077,6,2,1,0,0,0,0,3
38,2.0,3,1,3.079538318776564,0.9204616812234359,5.159076637553128,7,3,1,0,0,0,0,3
22,2.498386664163279,4,1,4.501613335836721,0.49838666416327904,8.0,6,3,0,0,1,0,0,3
23,0.0,4,1,1.5642332180392686,0.4357667819607315,7.871533563921463,1,3,0,0,1,0,0,3
19,3.7007668674674923,3,1,2.7007668674674923,0.2992331325325075,8.0,5,3,0,0,0,0,0,3
24,1.4892862119229102,4,1,3.48928621192291,0.5107137880770899,6.51071378807709,6,3,1,0,0,1,0,3
20,1.8921667504357758,3,2,2.0,0.10783324956422435,7.107833249564225,7,2,0,0,0,0,0,3
19,2.0,3,2,2.5074357155809137,0.7537178577904569,9.0,6,2,1,0,0,1,0,3
20,1.6395731208912858,1,1,4.279146241782572,0.3604268791087142,12.0,5,4,0,0,0,0,0,3
20,2.0961136704294994,3,1,2.0,2.0,7.903886329570501,6,2,0,0,1,1,0,3
21,0.14092603181920654,3,1,1.718147936361587,0.2818520636384131,8.0,6,3,1,0,0,0,0,3
20,4.354510727592701,1,2,2.8227446362036495,1.0,8.3545107275927,6,2,0,0,1,1,0,3
20,5.0,1,1,4.748714945185753,0.25128505481424634,7.748714945185753,5,2,0,0,1,0,0,3
22,3.8607246964553714,3,1,6.0,1.0,5.139275303544629,5,3,0,0,0,0,0,3
20,2.2431550475520954,3,2,2.0,0.0,6.756844952447905,6,2,0,0,0,0,0,3
22,0.5658625496908709,2,1,3.4341374503091293,0.4341374503091291,7.0,5,3,0,0,0,1,0,3
18,6.0,3,1,4.148077303464227,0.14807730346422698,7.0,6,4,1,0,1,1,0,3
20,5.100811155628258,3,1,0.9495944221858711,0.0,8.0,6,3,0,0,0,0,0,3
19,3.231754987002276,4,2,2.231754987002276,0.23175498700227593,7.0,5,2,1,0,0,1,0,3
21,4.0,1,2,2.0067168245935356,1.0,7.006716824593536,6,3,0,0,1,1,0,3
11,2.0,2,2,1.0,0.5719288312369222,10.19064294374564,5,3,1,0,0,1,0,3
22,3.0,4,1,2.618723545891683,0.6187235458916831,7.618723545891683,5,2,1,0,1,0,0,3
20,4.840352087188609,3,1,3.1596479128113906,0.8403520871886094,11.0,5,3,0,0,0,0,0,3
21,2.7872310554865054,2,1,4.787231055486505,0.7872310554865054,7.787231055486505,2,4,0,0,1,1,0,3
19,0.07653949415541672,1,1,3.0,1.0,8.0,5,3,0,0,0,0,0,3
19,0.6342348525570927,3,2,2.9105100982952714,0.9552550491476357,9.910510098295271,6,2,1,0,0,0,0,3
21,1.8265634494951908,4,1,1.1734365505048092,0.0,11.826563449495191,6,2,1,0,0,0,0,3
23,5.029004266614946,1,1,2.0,0.794199146677011,6.588398293354022,1,3,0,0,1,1,0,3
20,2.0,3,1,2.0,0.0,6.734424191210686,7,2,0,0,0,0,0,3
20,5.0,2,1,1.0,0.14816903364246503,8.0,6,3,0,0,0,0,0,3
21,4.0,1,2,2.5877104300001044,1.0,7.587710430000104,6,3,0,0,1,1,0,3
19,2.0,3,1,1.110498656346266,2.0,8.0,6,3,0,0,1,0,0,3
13,3.485010505257661,1,1,1.485010505257661,0.0,8.970021010515323,5,4,0,0,0,1,0,3
16,2.8895456628376293,2,2,3.0,1.0,7.110454337162371,5,2,0,0,0,0,0,3
20,4.0,3,1,4.258499868081337,0.2584998680813374,10.741500131918663,6,2,0,0,0,0,0,3
21,0.13288277458426417,3,1,1.7342344508314715,0.26576554916852835,8.0,6,3,1,0,0,0,0,3
19,5.363255534158112,3,1,2.0,2.0,6.0,5,2,1,0,0,0,0,3
13,3.0,3,2,1.0,0.5169376749078406,7.9887082167281065,5,3,0,0,0,0,0,3
16,6.440438686314905,4,1,2.440438686314905,0.5595613136850953,8.559561313685096,5,2,0,0,0,0,0,3
20,0.0,3,1,6.209054785081204,0.8954726074593984,8.790945214918796,5,3,0,0,1,1,0,3
20,6.0,4,1,2.0,1.0828363613259495,7.0,7,3,2,0,1,0,0,3
21,3.0,1,1,3.0,1.0,8.0,6,4,0,0,0,0,0,3
24,2.0,4,2,5.1514046874401345,0.0,6.0,6,4,1,0,0,0,0,3
19,6.0,3,1,4.15140018652914,1.0,6.15140018652914,6,3,0,0,1,1,0,3
23,2.0,3,2,2.0,0.9659425019477779,6.0,7,2,1,0,0,0,0,3
21,4.0,1,1,2.795167325360817,0.7951673253608172,8.204832674639183,6,2,1,0,1,1,0,3
21,3.8671446422091633,3,1,3.8671446422091633,1.0,8.0,6,2,1,0,0,0,0,3
21,3.284981834011227,3,1,2.715018165988773,1.0,8.0,6,2,0,0,0,0,0,3
21,0.147741848895863,3,1,1.7045163022082739,0.295483697791726,8.0,6,3,1,0,0,0,0,3
20,4.502489312415303,3,1,3.4975106875846973,0.2512446562076514,10.497510687584697,6,3,1,0,0,0,0,3
13,3.0,3,2,1.0,1.8448676668943278,7.103421555403782,5,3,0,0,0,0,0,3
38,3.457510583538967,3,1,3.5141631388203445,0.0,6.5141631388203445,7,3,1,0,0,0,0,3
21,4.0,1,1,2.6276829228190346,0.6276829228190345,8.372317077180966,6,2,1,0,1,1,0,3
20,5.0,1,1,4.48258163025509,0.5174183697449105,7.48258163025509,5,2,0,0,1,0,0,3
18,6.0,3,1,4.735305599502429,0.7353055995024296,7.0,6,4,1,0,1,1,0,3
20,2.913304011777041,3,1,5.913304011777041,0.9133040117770406,8.0,6,3,1,0,1,1,0,3
21,5.719824572554311,4,2,2.28017542744569,0.7198245725543103,8.0,6,3,0,0,0,1,0,3
17,4.20394138788291,1,2,2.0,0.0,7.0,6,3,1,0,1,1,0,3
18,2.0,1,2,2.3616638144827915,1.0,8.0,7,1,1,0,0,1,0,3
22,4.555370828027378,4,1,4.0,0.0,8.222314585986311,1,2,1,0,0,1,0,3
13,1.1189577740433059,1,2,2.0,1.0,8.0,5,3,0,0,0,1,0,3
19,2.0,3,1,2.3027936924559143,0.0,7.0,7,2,0,0,0,0,0,3
15,3.849617225517587,1,2,3.849617225517587,1.0,4.451148323447239,5,2,0,0,0,0,0,3
24,2.2618390016800176,3,1,4.0,0.0,6.0,6,3,0,0,0,0,0,3
20,6.0,4,1,2.0,1.0878410111335075,7.0,7,3,2,0,1,0,0,3
21,4.0,4,1,3.9362564913254317,1.0,8.0,6,3,1,0,0,0,0,3
19,0.7061948649943763,3,1,3.4896752250093726,0.48967522500937266,8.0,6,3,1,0,1,1,0,3
22,3.0,4,1,2.4727383828217966,0.4727383828217966,7.472738382821797,5,2,1,0,1,0,0,3
19,4.0,1,1,5.953966958499147,0.0,8.0,2,3,1,0,0,1,0,3
21,4.0,1,1,2.0537053468857813,0.05370534688578121,8.946294653114219,6,2,1,0,1,1,0,3
20,2.0,3,0,1.0,0.3622142518375875,11.637785748162413,6,2,1,0,0,0,0,3
20,6.85398318062842,3,1,0.07300840968579014,0.0,8.0,6,3,0,0,0,0,0,3
21,1.0085693664133033,4,1,1.9914306335866967,0.0,11.008569366413303,6,2,1,0,0,0,0,3
19,1.2204701589863318,4,1,2.0,1.2204701589863318,7.220470158986332,6,3,0,0,0,1,0,3
28,1.0,4,1,2.0,0.15018392180138085,7.6996321563972385,6,3,1,0,0,1,0,3
23,0.0,4,1,1.128997994780162,0.871002005219838,8.742004010439675,1,3,0,0,1,0,0,3
19,2.0,3,0,1.0,0.728305810284283,11.271694189715717,6,2,1,0,0,0,0,3
21,0.5999930069624367,3,0,0.40000699303756326,0.0,9.400006993037563,6,3,0,0,0,0,0,3
20,4.61864553449036,3,1,3.3813544655096393,0.3093227672451804,10.38135446550964,6,3,1,0,0,0,0,3
19,6.0,3,1,4.562945200420281,1.0,6.562945200420281,6,3,0,0,1,1,0,3
19,1.3472250882722436,4,1,2.6944501765444873,1.0,6.652774911727756,6,3,0,0,0,1,0,3
21,3.0,1,1,3.0,1.0,8.0,6,4,0,0,0,0,0,3
19,2.0,3,1,2.683963642120011,0.0,7.0,7,2,0,0,0,0,0,3
20,2.0,4,2,1.9862347449620896,0.0,12.0,6,3,0,0,0,1,0,4
20,4.0,3,1,2.110048330966563,0.889951669033437,8.0,5,4,1,0,0,1,0,4
20,5.33551855403606,4,1,2.66448144596394,1.0,8.0,5,3,0,0,0,0,0,4
20,4.476013165511687,4,1,3.0,0.47601316551168715,8.0,5,4,0,0,0,0,0,4
40,4.653700180382538,4,2,1.826850090191269,0.9134250450956345,7.826850090191269,6,3,0,0,1,1,0,4
19,0.0,0,0,0.0,1.9429602449150258,5.942960244915025,6,2,0,0,0,1,0,4
19,2.2418600859762523,4,2,1.7581399140237477,0.0,11.516279828047495,6,3,0,0,0,1,0,4
15,1.998932268843212,1,2,4.997864537686424,1.0,7.997864537686424,7,3,1,0,1,1,0,4
21,2.0,3,2,2.4173061848501014,0.5826938151498987,8.0,7,3,0,0,0,0,0,4
20,4.0,3,1,2.816720999369424,0.18327900063057578,8.0,5,4,1,0,0,1,0,4
12,5.0,2,2,1.0,0.3678927468493258,7.0,5,3,1,0,0,1,0,4
25,2.0,3,1,1.3793470578242992,1.0,8.0,3,2,1,0,0,0,0,4
21,2.58922932697469,3,1,2.0,0.41077067302531,8.58922932697469,6,4,1,0,0,1,0,4
12,5.0,1,2,1.0,0.24319195865897675,7.0,5,2,1,0,0,1,0,4
22,2.28341390687166,3,2,0.0,0.0,12.0,6,2,1,0,0,0,0,4
20,3.973782964738247,3,1,2.4868914823691233,1.0,7.513108517630877,1,3,0,0,0,1,0,4
20,4.0,3,1,2.3095898177667045,0.6904101822332954,8.0,5,4,1,0,0,1,0,4
22,5.422558627172153,2,1,2.0,1.0,8.0,6,3,0,0,0,1,0,4
14,4.558292180431257,3,2,3.4417078195687427,0.5582921804312571,5.558292180431257,5,2,1,0,0,0,0,4
19,4.0,3,1,3.0,0.0,9.280643794798927,5,2,1,0,0,0,0,4
19,0.0,3,2,3.357336135982373,0.3213319320088136,7.678668067991186,6,1,0,0,0,0,0,4
18,4.0,4,1,2.208207240196023,2.791792759803977,7.0,6,2,2,0,0,0,0,4
21,3.0,1,1,3.0,0.2743706879690828,7.548741375938166,5,3,0,0,0,0,0,4
14,4.508157089735946,3,1,3.508157089735946,0.5081570897359461,7.491842910264054,5,4,0,0,0,0,0,4
26,1.899076314793711,3,1,1.2018473704125776,1.0,8.0,3,3,2,0,0,1,0,4
20,0.0,3,2,0.2706395389705588,0.0,9.270639538970558,5,3,1,0,0,0,0,4
22,3.2299102270803046,2,1,3.2299102270803046,0.459820454160609,6.770089772919696,5,3,1,0,0,0,0,4
21,4.0,3,1,1.3754392475619883,1.3754392475619883,8.0,5,3,1,0,1,0,0,4
33,3.3125209295292315,4,2,1.6562604647646157,1.0,6.343739535235384,5,3,1,0,1,1,0,4
19,0.0,0,0,1.3100704119986448,1.3449647940006777,7.310070411998645,6,3,0,0,0,1,0,4
21,5.288962006789502,3,2,1.422075986420995,1.0,7.711037993210498,6,3,1,0,1,1,0,4
21,4.886462424781324,3,1,2.0,1.1135375752186762,8.0,5,3,1,0,1,1,0,4
22,0.0,3,1,1.0,0.0,9.73394262125285,1,3,1,0,0,0,0,4
20,0.543960942393876,3,1,0.45603905760612395,0.45603905760612395,8.0,7,3,1,0,0,1,0,4
14,4.84026376984149,3,2,3.15973623015851,0.8402637698414899,5.84026376984149,5,2,1,0,0,0,0,4
19,0.0,0,0,1.9232838075492915,1.0383580962253542,7.923283807549291,6,3,0,0,0,1,0,4
29,3.83761574486181,3,1,2.83761574486181,1.0,7.8324768510276375,6,3,0,0,0,0,0,4
20,6.0,3,1,3.0,0.0,8.0,1,3,1,1,0,0,0,4
20,5.781727742271846,4,1,2.218272257728154,1.0,8.0,5,2,0,0,0,0,0,4
18,3.0,4,2,1.0,0.13491872253239878,9.8650812774676,6,3,0,0,0,1,0,4
22,4.020929654516131,3,1,0.9790703454838688,1.0,8.0,4,3,0,0,0,0,0,4
18,3.292956504310857,4,2,1.0,0.0,9.707043495689144,7,3,0,0,0,1,0,4
20,0.0,3,1,3.0,0.0,8.0,5,3,0,1,0,0,0,4
20,0.0,3,1,3.0,0.0,8.0,5,3,0,1,0,0,0,4
22,2.749165980168275,1,2,0.0,0.0,12.0,6,2,1,0,0,0,0,4
20,4.0,3,1,2.0,1.7005619810552979,8.0,5,3,1,0,0,1,0,4
19,2.0,3,1,1.8568955284050157,1.1431044715949843,5.0,6,2,1,0,0,1,0,4
21,2.0,3,2,2.472983990568221,0.527016009431779,8.0,7,3,0,0,0,0,0,4
22,3.336722952983872,2,1,3.336722952983872,0.6734459059677436,6.663277047016129,5,3,1,0,0,0,0,4
23,2.0,3,1,6.0,1.6114572148735704,7.971356962816074,2,4,0,0,0,1,0,4
21,2.0,3,2,2.747019495350276,0.2529805046497241,8.0,7,3,0,0,0,0,0,4
18,2.0,3,2,1.9204265610296751,1.9204265610296751,9.079573438970325,5,3,1,0,0,0,0,4
12,5.0,1,2,1.0,0.16034363699057091,7.0,5,2,1,0,0,1,0,4
40,4.922794955007211,4,2,1.9613974775036054,0.9806987387518027,7.961397477503605,6,3,0,0,1,1,0,4
25,2.0,3,1,2.9076094683353255,1.0,8.0,3,2,1,0,0,0,0,4
21,4.0,3,1,1.4904990518838996,1.4904990518838996,8.0,5,3,1,0,1,0,0,4
21,0.3678079355672449,3,2,3.367807935567245,0.3678079355672449,8.0,5,3,0,0,0,1,0,4
12,5.0,2,2,1.0,0.43979701190279535,7.0,5,3,1,0,0,1,0,4
16,3.8048190064959324,3,1,3.1951809935040676,0.0,8.0,5,3,0,0,1,0,0,4
19,2.1622469187482,4,2,1.8377530812518,0.0,11.6755061625036,6,3,0,0,0,1,0,4
18,3.594118677632439,4,2,1.0,0.0,9.405881322367561,7,3,1,0,0,1,0,4
15,1.5829092644163392,1,2,4.165818528832679,1.0,7.165818528832679,7,3,1,0,1,1,0,4
14,4.695591028292074,3,1,4.0,0.6955910282920739,6.391182056584148,5,4,1,0,0,0,0,4
19,0.8562118094812079,4,1,2.212423618962416,0.5751527620751684,6.0,5,2,0,0,0,1,0,4
19,0.0,3,2,4.14188577394857,0.07094288697428514,7.85811422605143,6,1,0,0,0,0,0,4
20,3.846932479609419,2,1,4.0,0.0,7.846932479609419,6,2,0,0,1,1,0,4
19,0.0,3,2,0.07019911390868883,0.0,11.859601772182621,5,3,1,0,0,0,0,4
21,0.6982475865158515,4,2,3.6982475865158513,0.6982475865158515,8.0,5,3,0,0,0,1,0,4
20,4.95924736206034,3,1,2.97962368103017,1.0,7.02037631896983,1,3,1,0,0,1,0,4
25,2.0,3,1,1.0712539931060696,1.0,8.0,3,2,1,0,0,0,0,4
21,2.507607353001418,3,1,3.0,0.0,8.507607353001418,7,3,0,0,0,0,0,4
25,2.0,3,1,1.0952462939729073,1.0,8.0,3,2,1,0,0,0,0,4
18,2.189426241470529,4,2,1.0,1.0,9.810573758529472,5,4,0,0,0,0,0,4
21,0.0,3,1,1.0,0.0,9.411339117407257,1,3,1,0,0,0,0,4
22,2.596233518518341,3,1,2.403766481481659,0.40376648148165883,9.403766481481659,6,4,0,0,0,1,0,4
16,2.8623557045994596,3,1,4.13764429540054,0.0,8.0,5,3,0,0,1,0,0,4
25,2.0,3,1,1.8152049940220274,1.0,8.0,3,2,1,0,0,0,0,4
25,2.0,3,1,2.787504209440412,1.0,8.0,3,2,1,0,0,0,0,4
18,2.0,3,2,1.5540211897717062,1.5540211897717062,9.445978810228294,5,3,1,0,0,0,0,4
19,0.4928665073452738,4,1,2.4928665073452736,0.0,10.0,6,3,1,0,0,0,0,4
18,7.361459085620997,4,1,2.6807295428104987,1.0,5.9578113715685035,5,2,1,0,0,0,0,4
28,3.263365783050724,1,1,2.263365783050724,1.0,7.947326843389855,6,3,0,0,0,0,0,4
29,3.542280613535796,2,1,2.542280613535796,1.0,7.891543877292841,6,3,0,0,0,0,0,4
20,0.917735476067976,3,1,0.08226452393202399,0.08226452393202399,8.0,7,3,1,0,0,1,0,4
25,2.0,3,1,2.271273419650797,1.0,8.0,3,2,1,0,0,0,0,4
22,1.5928104503724156,2,1,3.0,0.7964052251862078,10.0,5,3,0,0,0,1,0,4
19,2.0,3,2,2.954747505430809,1.0,5.0,6,3,1,0,0,1,0,4
20,0.0,3,1,1.0,0.0,8.630751456614574,1,3,1,0,0,0,0,4
23,2.0,3,1,1.0,0.5117068331949007,7.488293166805099,6,2,0,0,0,1,0,4
